dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows,seed
TON_IoT,0.8,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,6.898107999993954,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
TON_IoT,0.9,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,6.803737899987027,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
OpTC,0.4,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,7.573013800021727,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.5,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,7.613931899948511,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.55,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,7.493029400007799,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.6,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,7.806959400011692,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.65,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.632950700004585,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.7,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.396642999956384,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.75,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.315781600016635,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.8,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.313918699976057,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.9,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.15196059999289,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
NSL-KDD,0.4,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.972935000027064,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.5,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.815642799949273,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.55,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.824820699985139,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.6,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.8387332999845967,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.65,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.799983599979896,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.7,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.901998699991964,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.75,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.897158100036904,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.8,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.9534143999917437,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.9,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,3.024140299996361,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.4,0.4394044016139665,,0.9434773909563824,0.1251786449855025,,0.490468716722597,0.4825726131146194,,,,0.8170695748040723,0.3504043247984674,0.4904687167225969,69,69,0,0.0,0.93264901638031,1.0,,gaec,False,58.57066329999361,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.5,0.5238826068457698,,0.9447779111644656,0.2501430329084769,,0.5051623381891169,0.4968503205612954,,,,0.8220632888445176,0.3646079470541284,0.5051623381891169,74,74,0,0.0,0.9213308095932008,1.0,,gaec,False,39.64535959996283,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.55,0.221490495344898,,0.9303721488595438,0.3949884404919938,,0.4227929975638951,0.4145479509317812,,,,0.7767798314347183,0.2904375265525899,0.4227929975638952,69,69,0,0.0,0.9408823251724244,1.0,,gaec,False,39.17184909997741,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
