dataset,method,runtime_seconds,n_true_classes,ari,nmi,ami,homogeneity,completeness,v_measure,silhouette,coverage,binary_ari,seed
CICIDS2017,HDBSCAN-emb,0.3341498374938965,16,0.015336417854288565,0.31672545147267017,0.29857820088303616,1.0000000000000004,0.1881603044196018,0.31672545147267017,0.13622169196605682,0.959,,42
CICIDS2017,MITRE-CORE,7.205695390701294,16,0.10848202581908611,0.4845025661151904,0.4806340476750234,0.9492598450547751,0.3252569032120017,0.4845025661151903,0.0,1.0,,42
TON_IoT,K-Means,0.038059234619140625,10,0.12455825401076363,0.2797373030100697,0.2783108221473032,0.26951371825842746,0.2907671018953575,0.27973730301006966,0.0,1.0,,42
TON_IoT,DBSCAN,0.04826045036315918,10,0.10063493491764851,0.4057820349537143,0.3791708291429201,0.9999999999999998,0.25453359819711546,0.4057820349537143,1.0,0.162,,42
TON_IoT,Spectral,56.00933289527893,10,0.01038109418162444,0.15293075542003956,0.15078634109852898,0.11806825514635733,0.2170074351021615,0.15293075542003956,0.0,1.0,,42
TON_IoT,HDBSCAN,0.18884682655334473,10,0.09355580976491965,0.3804719984622189,0.36725767244462143,0.5371549451557615,0.2945535518715432,0.38047199846221885,0.2518883108585211,0.8235,,42
TON_IoT,K-Means-emb,0.1853628158569336,10,0.7201906546504315,0.8514383033506996,0.8511631594485581,0.8730240456942645,0.830894231417526,0.8514383033506995,0.0,1.0,,42
TON_IoT,Spectral-emb,0.7712671756744385,10,0.004639278747673259,0.05418628425287378,0.05156325912398983,0.03839451515770537,0.09204439612472384,0.05418628425287378,0.0,1.0,,42
TON_IoT,HDBSCAN-emb,0.344083309173584,10,0.0585295948266926,0.5596275578231452,0.5436708458526999,0.996787740817992,0.3890168393136374,0.5596275578231452,0.16957569122314453,0.9611,,42
TON_IoT,MITRE-CORE,7.3339684009552,10,0.362805897719872,0.7040254457531449,0.7017472642308131,0.9319890271146417,0.5656644809941154,0.7040254457531447,0.0,1.0,,42
SQTK_SIEM_kcluster,K-Means,0.03834199905395508,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,42
SQTK_SIEM_kcluster,DBSCAN,0.2724330425262451,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,42
SQTK_SIEM_kcluster,Spectral,0.27370572090148926,11,-0.002593080093500909,0.0056055806901595725,0.0006337717483078885,0.005772019023587044,0.005448471957727346,0.005605580690159572,0.0,1.0,,42
SQTK_SIEM_kcluster,HDBSCAN,0.052694082260131836,11,0.0,0.0,,,,,0.0,0.0,,42
SQTK_SIEM_kcluster,K-Means-emb,0.13838887214660645,11,0.25357529908615806,0.4081439430014124,0.40524803155443057,0.4454061370734781,0.37663506240557565,0.4081439430014124,-0.017613815143704414,1.0,,42
SQTK_SIEM_kcluster,Spectral-emb,2.874325752258301,11,0.13060265789885991,0.2983409387804024,0.2945279839886438,0.2863396139771326,0.311392294167936,0.2983409387804024,-0.4255513846874237,1.0,,42
SQTK_SIEM_kcluster,HDBSCAN-emb,0.3894996643066406,11,0.19203442341665408,0.47702999373611127,0.46084929319650303,0.7589150832702091,0.3478335869633804,0.4770299937361112,-0.22066769003868103,0.8052941176470588,,42
SQTK_SIEM_kcluster,MITRE-CORE,2.712632417678833,11,0.3638524403261379,0.5233726710547166,0.5170868270492737,0.6641254404196494,0.43184807520239593,0.5233726710547166,-0.3618333041667938,1.0,,42
OpTC,K-Means,0.012337207794189453,2,0.07837207302446021,0.1111956056674111,0.11108680336809344,0.2638890992645752,0.07043815254059557,0.11119560566741113,0.0,1.0,0.0,42
OpTC,DBSCAN,0.10480928421020508,2,0.0024279418804692768,0.09975248131316053,0.08028102470627461,0.7658143326250483,0.05335089776721585,0.09975248131316053,1.0,0.2381,0.6407868978498777,42
OpTC,Spectral,95.79861426353455,2,0.01502103415205999,0.0010651950413102652,0.0006586760350690279,0.0007835235023326626,0.0016630508802937996,0.0010651950413102652,0.0,1.0,0.0,42
OpTC,HDBSCAN,0.2282733917236328,2,0.09326002972608374,0.05234506358889813,0.05102800547979042,0.3272875164233564,0.02844741499687634,0.05234506358889813,0.5516976466695792,0.9006,0.0,42
OpTC,K-Means-emb,0.06314229965209961,2,0.07843781624232374,0.11123522131015677,0.11112641543901991,0.2639627498623563,0.07046469864930519,0.11123522131015674,0.0,1.0,0.0,42
OpTC,Spectral-emb,0.2524700164794922,2,-0.05246887353148082,0.02533232593626717,0.025177559026527338,0.0463981291961452,0.017422235687134868,0.02533232593626717,0.0,1.0,0.0,42
OpTC,HDBSCAN-emb,0.22316956520080566,2,0.021137585829420446,0.11474613117555174,0.11316569435375574,1.0000000000000067,0.06086508192506813,0.11474613117555171,0.00010156200733035803,0.9989,1.0,42
OpTC,MITRE-CORE,8.722660064697266,2,0.054160766153659966,0.19023649416561947,0.18992016909645956,1.000000000000001,0.10511676998255749,0.19023649416561944,0.0,1.0,1.0,42
