dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
OpTC,0.55,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.48476639999717,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.6,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.510244200006127,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.65,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.503845900006127,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.7,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.459943199995905,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.75,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.329877700001816,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.8,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.350663099990925,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
OpTC,0.9,0.0481793958523846,1.0,1.0,,0.0,0.15015996407637405,0.1492322143112127,,,,1.0000000000000053,0.08117456707622779,0.15015996407637405,25,0,0,0.0,0.9991999268531799,1.0,,gaec,False,9.486588800005848,8dc124bb3acd08c662ee2b9c87db39694c0bc858,6532,0.6532653265326532,6532
NSL-KDD,0.4,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,2.9982217000069795,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.5,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,2.9880970000085654,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.55,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,2.943772999991779,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.6,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,2.9878191000025254,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.65,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,3.0704817999940133,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.7,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,3.108176000008825,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.75,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,3.1099310999998124,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.8,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,2.9591550000041025,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
NSL-KDD,0.9,0.7519827503438545,,0.9941972920696325,0.2689852474812579,,0.6757661001355845,0.6734404422332259,,,,0.9613569787422163,0.5209940837012943,0.6757661001355844,17,17,0,0.0,0.974298357963562,1.0,,gaec,False,3.0636512999917613,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
SQTK_SIEM_kcluster,0.4,0.18391197423284636,,0.5614617940199336,,0.0,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.8504249000106938,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
SQTK_SIEM_kcluster,0.5,0.18391197423284636,,0.5614617940199336,,0.0,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.7433080000046175,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
SQTK_SIEM_kcluster,0.55,0.18391197423284636,,0.5614617940199336,,0.0,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.7538184000004549,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
